Employer.Name,CBA.File,Location,Union,Expiration.Date,NAICS.,X.Wrkrs,Type
CEMENT LEAGUE,1017,NY NEW YORK,UBC DC OF NYC,2006-06-30,23811,10000,PRIVATE
CEMENT LEAGUE,1348,NY NEW YORK,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 46 METALLIC LATHERS' UNION,2002-06-30,23811,1000,PRIVATE
CEMEX CONSTRUCTION MATERIALS ATLANTIC LLC,2456,OH,BOILERMAKERS AFL-CIO (BBF) LODGE 357 D CEMENT WORKERS,2021-02-28,NA,NA,PRIVATE
CEMEX CONSTRUCTION MATERIALS SOUTH LLC,2278,AZ,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428",2021-09-30,NA,NA,PRIVATE
CEMEX CONSTRUCTION MATERIALS SOUTH LLC,2279,AZ,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428",2021-06-30,NA,NA,PRIVATE
"CEMEX CONSTRUCTION MATERIALS SOUTH, LLC - CENTRAL DISTRICT",2036,AZ,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428",2017-09-30,23621,1693,PRIVATE
"CEMEX CONSTRUCTION MATERIALS SOUTH, LLC (CAMP VERDE AND PRESCOTT)",2422,AZ,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428",2019-03-31,NA,NA,PRIVATE
CENTERAL HUDSON GAS & ELECTRIC,524,NY,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 320,NA,NA,NA,PRIVATE
CENTERPLATE HOSPITALITY VENTURE EMPLOYER,2451,FL,UNITE HERE  737,2018-08-04,NA,NA,PRIVATE
"CENTERPOINT ENERGY, HOUSTON ELECTRIC, LLC",466,TX HOUSTON,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 66,2006-05-25,22111,1500,PRIVATE
"CENTERRA GROUP, LLC",2258,DC,SDM ,2018-05-31,NA,NA,PRIVATE
CENTRAL HUDSON GAS & ELECTRIC,522,NY,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 320,2008-04-30,221,900,PRIVATE
CENTRAL HUDSON GAS & ELECTRIC,523,NY,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 320,2016-04-30,221,1000,PRIVATE
CENTRAL ILLINOIS BUILDERS OF AGC,2145,IL,LABORERS  (LIUNA) LOCAL UNION 362/LABORERS  (LIUNA) LOCAL UNION 538/LABORERS  (LIUNA) LOCAL UNION 996,2017-04-30,237310,NA,PRIVATE
"CENTRAL MASS TRANSIT MANAGEMENT, INC.",2520,MA,TRANSIT UNION AFL-CIO (ATU) LOCAL DIVISION 22,2019-08-31,NA,NA,PRIVATE
CENTRAL MISSOURI GLAZING CONTRACTORS,2303,MO,IUPAT 1185,2018-03-31,NA,NA,PRIVATE
CENTRAL TEXAS GLAZIERS,1888,TX,PAT 1778,2011-05-31,325510,2125,PRIVATE
CENTRAL TEXAS GLAZIERS,1889,TX,PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 88,2016-05-31,325510,2125,PRIVATE
CENTRAL TEXAS GLAZIERS,2370,TX,PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 88,2017-05-31,NA,NA,PRIVATE
CESSNA AIRCRAFT CO.,317,KS WICHITA,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 70/MACHINISTS AFL-CIO (IAM) LODGE 774,2004-09-12,336411,6100,PRIVATE
CH MURPHY/ CLARK ULLMAN INC.,1812,OR,BOILERMAKERS AFL-CIO (BBF) LODGE 104,2010-09-30,238390,1000,PRIVATE
CHAIN & INDEPENDENT FOOD STORES (GROCERY & MEAT ),616,MN MINNEAPOLIS,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 653,2007-03-04,445110,12925,PRIVATE
CHANGE TO WIN,2181,DC,WBNG 32035,2017-12-31,NA,NA,PRIVATE
CHANUTE MANUFACTURING CO.,1792,-,BOILERMAKERS AFL-CIO (BBF) LODGE 83,2012-11-30,316999,1000,PRIVATE
CHENEGA SECURITY & SUPPORT SOLUTIONS LLC (CS3),2224,TX,"SECURITY POLICE, FIRE PROF, IND (SPFPA) LOCAL UNION 300",2019-09-30,NA,NA,PRIVATE
"CHEVRON ORONITE COMPANY, LLC",2300,LA,SWU 13-447,2019-03-31,NA,NA,PRIVATE
"CHEVRON USA, INC.",2283,TX,SUP ,2023-03-31,NA,NA,PRIVATE
"CHEVRON USA, INC.",2302,CA,SUP ,2017-03-31,NA,NA,PRIVATE
CHICAGO AREA REFUSE HAULERS ASSOCIATION (PRIVATE SCAVENGERS),520,IL CHICAGO,TEAMSTERS (IBT) LOCAL UNION 731,2008-09-30,562219,2500,PRIVATE
CHICAGO EXHIBIT PRODUCTIONS,2318,IL,CRCC ,2016-05-31,NA,NA,PRIVATE
CHICAGO LITHOGRAPHERS ASSOCIATION.,141,IL CHICAGO,GCIU 458-3M,2007-04-30,323114,1000,PRIVATE
CHICAGO MIDWEST MEAT ASSOCIATION.,41,IL CHICAGO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1546,2006-10-31,311612,4500,PRIVATE
CHICAGO ROOFING CONTRACTORS ASSOCIATION.,953,IL CHICAGO,ROOFERS AFL-CIO (RWAW) LOCAL UNION 11,2007-05-31,23816,2000,PRIVATE
CHICAGO TRANSIT AUTHORITY,2319,IL,CRCC ,2016-12-31,NA,NA,PRIVATE
CHICAGO WALK-UP APARTMENTS,806,IL CHICAGO,SEIU 1,2005-11-30,53111,1100,PRIVATE
"CHICAGO, UNIVERSITY OF",829,IL CHICAGO,"TEAMSTERS (IBT) LOCAL UNION 743 WAREHOUSE, MAIL ORDER, OFFICE, TECHNICAL AND PROF",2007-02-28,611310,1000,PRIVATE
"CHICAGO, UNIVERSITY OF, HOSPITALS",940,IL CHICAGO,"TEAMSTERS (IBT) LOCAL UNION 743 WAREHOUSE, MAIL ORDER, OFFICE, TECHNICAL AND PROF",2006-07-10,62211,1300,PRIVATE
CHICAGOLAND SHEET METAL CONTRACTORS ASSOCIATION.,1413,IL CHICAGO,SMW 73,2005-05-31,23822,2900,PRIVATE
CHILDREN'S HOSPITALS AND CLINICS,759,MN MINN-ST PAUL,MNA -,2007-05-31,62211,1100,PRIVATE
"CHIMES DC, INC.",1300,DC,SERVICE EMPLOYEES (SEIU) LOCAL UNION 32 BJ,2022-08-31,561720,10,PRIVATE
CHRYSLER CORP. DAYTON THERMAL PROD. (HEAT & COOL),236,OH DAYTON,CWA/IUE 775,2007-09-28,336391,1800,PRIVATE
CHURCH WORLD SERVICE & NATIONAL COUNCIL OF CHURCHES,1919,IN,UAW 2110,2011-03-31,813319,2771,PRIVATE
CINCINNATI BELL,410,OH CINCINNATI,CWA ,2005-05-07,517110,2000,PRIVATE
CINCINNATI GAS AND ELECTRIC CO. (CINERGY CORP.),492,OH CINCINNATI,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1347,2006-04-01,221119,1500,PRIVATE
CINCINNATI GAS AND ELECTRIC CO. (CINERGY CORP.),493,OH CINCINNATI,UWU 600,2005-04-01,221119,900,PRIVATE
"CINGULAR WIRELESS, LLC",784,IL MA MD NY,"CWA 1,2,4",2005-02-05,517110,2200,PRIVATE
CIRCUS CIRCUS HOTEL & CASINO,744,NV LAS VEGAS,"UNITE HERE  226, 165",2007-05-31,72112,6500,PRIVATE
CITY MARKET INC. (RETAIL CLERKS) GRAND JUNCTION AND CLIFTON,2019,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-10-05,4445110,2000,PRIVATE
CITY MARKET INC. (RETAIL CLERKS) STEAMBOAT SPRINGS,2021,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-10-05,4445110,2000,PRIVATE
CITY MARKET INC. (RETAIL MEAT),2020,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-10-05,4445110,2000,PRIVATE
CITY OF CHICAGO,2052,IL CHICAGO,BSIOW 63,2017-06-30,23622,1616,PRIVATE
"CLARION NORTH AMERICA, INC.",1329,IL,IATSE 414,2022-06-30,512199,100,PRIVATE
"CLARK FIRE PROTECTION PRODUCTS, INC.",1313,OH,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 34,2023-08-25,333618,80,PRIVATE
"CLASSIC WOODWORK, INC.",2320,IL,CRCC ,2019-05-31,NA,NA,PRIVATE
CLEAVER-BROOKS NEBRASKA BOILER,1793,NE,BOILERMAKERS AFL-CIO (BBF) LODGE 83,2011-11-04,316999,1000,PRIVATE
CLEVELAND FOOD INDUSTRY COMMITTEE (CLERKS),598,OH CLEVELAND,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 880,2005-09-11,445110,10700,PRIVATE
CLEVELAND-AKRON-CANTON FOOD IND COMM (MEAT),596,OH,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 880,2008-09-14,445110,3300,PRIVATE
CLEVELAND-AKRON-CANTON FOOD IND COMM (MEAT),597,OH PA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 880,2005-09-11,445110,3300,PRIVATE
CLOTHING MFRS. OF THE USA,95,"NATIONAL",UNITE HERE  ,2007-03-26,315211,35000,PRIVATE
"COAL OPERATORS & ASSOCIATES, INC",1080,KY,BCOA -,2006-12-31,561612,1000,PRIVATE
COALITION OF KAISER PERMANENTE UNIONS AFL-CIO,2182,DC,WBNG 32035,2017-03-31,NA,NA,PRIVATE
COASTAL INTERNATIONAL SECURITY,1764,DC,"SECURITY POLICE, FIRE PROF, IND (SPFPA) LOCAL UNION 287",2007-11-30,561612,1000,PRIVATE
COASTAL INTERNATIONAL SECURITY,1765,DC,"SECURITY POLICE, FIRE PROF, IND (SPFPA) LOCAL UNION 287",2010-09-30,561612,1000,PRIVATE
COASTAL INTERNATIONAL SECURITY (DEPT. OF COMMERCE),1762,"WASH, DC",USPOA -,2012-11-30,561612,1000,PRIVATE
COASTAL INTERNATIONAL SECURITY (DEPT. OF COMMERCE),1763,"WASH, DC",SPPO -,2011-09-30,561612,1000,PRIVATE
COASTAL INTERNATIONAL SECURITY (DEPT. OF INTERIOR),1786,DC,"NASPSO -",2011-09-30,561612,1000,PRIVATE
"COCA-COLA BOTTLING COMPANY OF CAPE COD, INC",2522,MA,TEAMSTERS (IBT) LOCAL UNION 59,2019-04-01,NA,NA,PRIVATE
COFFEYVILLE RESOURCES,1794,KS,"BOILERMAKERS AFL-CIO (BBF) LODGE 83/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 226/ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 123/MACHINISTS AFL-CIO (IAM) LODGE 693/PLUMBERS AFL-CIO (PPF) LOCAL UNION 441/TEAMSTERS (IBT) LOCAL UNION 823",2017-03-03,316999,NA,PRIVATE
COFFEYVILLE RESOURCES,1795,KS,"BOILERMAKERS AFL-CIO (BBF) LODGE 83/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 226/ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 123/MACHINISTS AFL-CIO (IAM) LODGE 693/PLUMBERS AFL-CIO (PPF) LOCAL UNION 441/TEAMSTERS (IBT) LOCAL UNION 823",2013-03-03,316999,NA,PRIVATE
COLORADO CHAPTER REFRIGERATION AND AC,1734,CO,PLUMBERS AFL-CIO (PPF) LOCAL UNION 208,2003-05-31,NA,NA,PRIVATE
COLORADO CHAPTER REFRIGERATION AND AC,1735,CO,PLUMBERS AFL-CIO (PPF) LOCAL UNION 208,2009-05-31,23822,1700,PRIVATE
COLORADO ROOFING CONTRACTORS,2112,CO,ROOFERS AFL-CIO (RWAW) LOCAL UNION 58,2018-04-30,423330,NA,PRIVATE
COLORADO ROOFING CONTRACTORS,2113,CO,ROOFERS AFL-CIO (RWAW) LOCAL UNION 58,2016-04-30,NA,NA,PRIVATE
COLUMBIA STATEWIDE LABORERS' INDEPENDENT BLDG. AGREEMENT,1441,CO,LIUNA -,2004-04-30,813319,2771,PRIVATE
COLUMBIA UNIVERSITY (SUPPORT STAFF),1920,NY,UAW 2110,2012-01-31,813319,2771,PRIVATE
"COM ED FACILITIES- ILLINOIS (JONES LANG LASALLE AMERICAS, INC.)",2550,IL,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 399",2020-05-31,NA,NA,PRIVATE
COMMERICAL CLEANING SERVICES,2494,MN,LIUNA ,2019-04-30,NA,NA,PRIVATE
"COMMUNICATIONS CABLING & NETWORKING, INC.",2557,WI,COMMUNICATIONS WORKERS AFL-CIO (CWA) LOCAL UNION 4603,2020-05-30,238210,105,PRIVATE
COMMUNITY HOSPITAL AT DOBBYS FERRY,2500,NY,SEIU 1199,2007-12-31,NA,NA,PRIVATE
CONAGRA BEEF COMPANY,1756,CO,UFCWU -,2004-11-21,23731,1500,PRIVATE
"CONAGRA FOODS COMPANY, INC",1183,CO,"UF, IBT -",2006-07-16,23731,1500,PRIVATE
"CONAGRA FOODS, INC",70,PA,UFCWU -,2010-02-07,23731,1500,PRIVATE
CONCRETE CONTRACTORS ASSOCIATION OF GREATER CHICAGO,1397,IL,LIUNA -,2006-05-31,23731,1500,PRIVATE
CONCRETE CONTRACTORS ASSOCIATION OF GREATER CHICAGO,2411,IL,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 11/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 502,2021-05-31,NA,NA,PRIVATE
CONDOMINIUM COOPERATIVE EMPLOYERS COUNCIL,2041,SAN FRANCISCO,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2012-09-30,NA,NA,PRIVATE
CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION,1263,CT,LABORERS  (LIUNA) LOCAL UNION 146/LABORERS  (LIUNA) LOCAL UNION 230/LABORERS  (LIUNA) LOCAL UNION 455/LABORERS  (LIUNA) LOCAL UNION 611/LABORERS  (LIUNA) LOCAL UNION 665/LABORERS  (LIUNA) LOCAL UNION 675,2012-03-31,23731,1500,PRIVATE
CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY),986,CT HARTFORD,"UBC 24,43,210",2006-04-30,23731,3000,PRIVATE
CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY),1258,CT,TEAMSTERS (IBT) JOINT COUNCIL 10,2005-03-31,23731,1100,PRIVATE
CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY),1261,CT,LABORERS  (LIUNA) DISTRICT COUNCIL 0 CONNECTICUT,2009-03-31,23731,1500,PRIVATE
CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY),1262,CT,LABORERS  (LIUNA) DISTRICT COUNCIL 0 CONNECTICUT,2005-03-31,23731,1500,PRIVATE
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION, INC.",1394,CONNECTICUT,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 478",2014-03-31,NA,NA,PRIVATE
CONNECTICUT LIGHT & POWER CO (NE UTILITIES CO),494,CT,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 420/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 457,2004-06-01,22111,800,PRIVATE
CONNECTICUT STATE (HEALTH CARE-UNITS P1 & NP6),39,CT,SERVICE EMPLOYEES (SEIU) DISTRICT 1199 NEW ENGLAND HEALTH CARE EMPL UNION,2005-06-30,622,7350,PRIVATE
CONNECTICUT STATE BOARD OF EDUCATION,36,CT,AFT 4200A,2011-08-31,611110,1000,PRIVATE
CONNECTICUT STATE BOARD OF EDUCATION (VOC TEACHERS),35,CT,AFT 4200A,2007-08-31,611110,1000,PRIVATE
CONNECTICUT STATE JUDICIAL BRANCH (NON PROFESSIONALS),37,CT,STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LOCAL UNION 749 CSEA -- ALFRED COLLEGE OF CERAMICS,2006-06-30,922110,1400,PRIVATE
"CONNETICUT CONSTRUCTION INDUSTRIES ASSOCIATION, INC.",1491,CT,TEAMSTERS (IBT) JOINT COUNCIL 10/TEAMSTERS (IBT) LOCAL UNION 191/TEAMSTERS (IBT) LOCAL UNION 493/TEAMSTERS (IBT) LOCAL UNION 559 GROCERY BAKERY CONSTRUCTION DRIVERS & HELPERS/TEAMSTERS (IBT) LOCAL UNION 677,2005-03-31,NA,NA,PRIVATE
CONSOLIDATED EDISON CO. OF NEW YORK,495,NY,UTILITY WORKERS AFL-CIO (UWU) LOCAL UNION 1 2,2004-06-26,221,8600,PRIVATE
"CONSOLIDATED PAPER, INC.",118,WI,USWA/PACE  -,2005-04-30,322121,2600,PRIVATE
CONSTRUC IND COUN OF WESTCH & HUDSN VLLY (HVY-HWY-ENGR),1492,NY,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 137",2005-03-06,23731,1000,PRIVATE
CONSTRUCTION CONTRACTORS & EMPLOYERS,1054,ME NH VT,UBC 1996,2006-09-30,23621,1500,PRIVATE
CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (BLDG),1581,NY NEWBURGH,LABORERS  (LIUNA) LOCAL UNION 17,2007-05-31,23622,1000,PRIVATE
CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (NON-RES),1044,NY NEWBURGH,"UBC RC, UPSTATE NY",2006-05-31,23622,3000,PRIVATE
CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (RESID),989,NY HUDSON VALLEY,LABORERS  (LIUNA) LOCAL UNION 17,2005-05-31,2361,1000,PRIVATE
CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (RESIDENTIAL),988,NY,LABORERS  (LIUNA) LOCAL UNION 17,2009-05-31,2361,1000,PRIVATE
"CONSTRUCTION CONTRACTORS COUNCIL, AGC LABOR DIV",1200,DC VA MD,UBC DC RC,2004-04-30,23622,4000,PRIVATE
"CONSTRUCTION CONTRACTORS LABOR EMPLOYEES OF NJ & AGC, NJ",1461,NJ,UBC 1456,2007-04-30,NA,NA,PRIVATE
CONSTRUCTION EMPLOYERS,984,NY BUFFALO,UBC EMPIRE ST RC,2002-05-14,23621,1000,PRIVATE
CONSTRUCTION EMPLOYERS ASSOCIATION (BLDG),1436,OH CLEVELAND,LABORERS  (LIUNA) LOCAL UNION 310,2005-04-30,23622,1700,PRIVATE
CONSTRUCTION EMPLOYERS ASSOCIATION (BLDG),1618,OH CLEVELAND,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 18",2006-04-30,23622,3300,PRIVATE
CONSTRUCTION EMPLOYERS ASSOCIATION OF CENTRAL KY,998,KY CENTRAL,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181",2006-05-31,23731,2800,PRIVATE
CONSTRUCTION EMPLOYERS ASSOCIATION OF CLEVELAND OHIO,2416,OH,BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 5 CLEVELAND OHIO,2020-04-30,NA,NA,PRIVATE
CONSTRUCTION EQUIPMENT RENTAL ASSOCIATION,1106,DC METRO,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 77",2005-04-30,2389,1000,PRIVATE
CONSTRUCTION INDUSTRIES COUNTIES OF WESTCHESTER & HUDSON VALLEY (HVY-HWY),1675,NY SOUTHEAST,LABORERS  (LIUNA) LOCAL UNION 60,2007-03-31,23731,900,PRIVATE
CONSTRUCTION INDUSTRIES OF MA (HVY-HWY),1259,MA,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 4",2005-05-31,23731,3600,PRIVATE
CONSTRUCTION INDUSTRIES OF MA (HVY-HWY),1260,MA,"IBT JC 10, 8 LOCALS",2004-06-01,23731,1100,PRIVATE
"CONSTRUCTION INDUSTRIES OF MASSACHUSETTS, INC",1257,NY,IBT -,2008-05-31,23621,NA,PRIVATE
CONSTRUCTION INDUSTRIES OF RI (HVY-HWY),1045,RI,CARPENTERS IND (CJA) LOCAL UNION 94,2009-06-07,23731,1000,PRIVATE
CONSTRUCTION INDUSTRIES OF RI (HVY-HWY),1046,RI,UBC 94,2005-06-05,23731,1000,PRIVATE
CONSTRUCTION INDUSTRY ASSOCIATION OF ROCHESTER (COMML),1048,NY ROCHESTER,UBC 85,2006-04-30,23622,1300,PRIVATE
"CONSTRUCTION INDUSTRY ASSOCIATION OF ROCHESTER, NY",1897,NY ROCHESTER,CARPENTERS IND (CJA) LOCAL UNION 85,2011-04-30,23731,1057,PRIVATE
CONSTRUCTION INDUSTRY ASSOCIATION-WAS BUILDING TRADES EMPLOYERS (COML),1446,NY ROCHESTER,LABORERS  (LIUNA) LOCAL UNION 435,2006-04-30,23622,1100,PRIVATE
CONSTRUCTION INDUSTRY COUNCIL ET AL (HVY-HWY),1456,NY WESTCHESTER,"UBC 11, 964",2004-04-30,23731,1200,PRIVATE
CONSTRUCTION INDUSTRY EMPLOYERS ASSOCIATION.,1202,NY BUFFALO,LABORERS  (LIUNA) LOCAL UNION 210,2007-06-30,23622,1800,PRIVATE
CONSTRUCTORS ASSOCIATION OF WESTERN PA,958,PA,CARPENTERS IND (CJA) LOCAL UNION 2274,2010-12-31,23622,1000,PRIVATE
CONSTRUCTORS ASSOCIATION OF WESTERN PA,959,PA WESTERN,UBC 2274,2004-12-31,23622,1000,PRIVATE
CONSTRUCTORS ASSOCIATION OF WESTERN PA,1273,PA WESTERN,TEAMSTERS (IBT) JOINT COUNCIL 40,2008-01-01,23731,1000,PRIVATE
CONSTRUCTORS ASSOCIATION OF WESTERN PA,1623,PA WESTERN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 66",2004-12-31,23622,6500,PRIVATE
CONSTRUCTORS ASSOCIATION OF WESTERN PA,1634,PA WESTERN,LIUNA 8 LOCALS,2004-12-31,23622,8000,PRIVATE
CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA,2243,PA,CEMENT MASONS  526,2014-12-31,NA,NA,PRIVATE
CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA,2242,PA,PILE DRIVERS  2235,2004-12-30,NA,NA,PRIVATE
CONSTRUCTORS LABOR COUNCIL OF WEST VIRGINIA,1638,WV,BSOIW ,2006-11-30,NA,NA,PRIVATE
CONSTRUCTORS LABOR COUNCIL OF WEST VIRGINIA,1679,WV,OPCM ,2006-11-30,NA,NA,PRIVATE
CONSTRUCTORS' - AREA 438,1877,IN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692,2017-05-31,238140,1730,PRIVATE
CONSTRUCTORS' - AREA 438,1878,IN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692,2015-05-31,238140,1730,PRIVATE
CONSTRUCTORS' - AREA 438,1879,IN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692,2012-05-31,238140,1730,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1636,WV MD OH KY,IABSORI -,2009-11-30,23731,1450,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1637,WV MD OH KY,IABSORI -,2006-12-06,23731,1450,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1639,WV,BSIOW -,2012-12-06,23731,1540,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1646,WV MD OH KY,LABORERS  (LIUNA) LOCAL UNION 10 RESIDENT/HOUSING/CONSTRUCTION/LABORERS  (LIUNA) LOCAL UNION 149/LABORERS  (LIUNA) LOCAL UNION 379/LABORERS  (LIUNA) LOCAL UNION 453/LABORERS  (LIUNA) LOCAL UNION 543/LABORERS  (LIUNA) LOCAL UNION 984,2012-12-06,23731,7300,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1647,WV MD OH KY,LIUNA MULTI,2005-12-06,23731,7300,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1649,WV,LIUNA -,2012-12-06,23731,7300,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1651,WV MD OH KY,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 132",2005-12-06,23731,3200,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1652,WV,IUOE -,2012-12-06,23731,3200,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1657,WV,CARPENTERS IND (CJA) LOCAL UNION 2235,2009-11-30,23731,4200,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1658,WV MD OH KY,MARCC -,2006-12-06,23731,4200,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1659,WV,CJA -,2012-12-06,23731,4200,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1676,WV,OPCM -,2009-11-30,23731,1300,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1677,WV MD OH KY,OPCM -,2006-12-06,23731,1300,PRIVATE
CONSTRUCTORS' LABOR COUNCIL,1680,WV,OPCM -,2012-05-31,23731,1300,PRIVATE
CONSTRUCTORS' LABOR COUNCIL OF WEST VA / OPCM,1678,WV,OPCM ,2009-12-06,23731,1300,PRIVATE
CONSTRUCTORS' LABOR COUNCIL OF WEST VA IUOE,1650,WV,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 132",2006-12-06,23731,3200,PRIVATE
CONSUMERS ENERGY (WAS CONSUMERS POWER CO.),496,MI,UWUA -,2005-06-01,221,4000,PRIVATE
CONTINENTAL AIRLINES,1906,,IAM ,2012-09-02,NA,NA,PRIVATE
"CONTINENTAL AIRLINES, INC.",1903,NY,ALPA -,2008-12-31,1111,50361,PRIVATE
"CONTINENTAL AIRLINES, INC.",1904,NY,IAM -,2004-10-01,22222,1000,PRIVATE
"CONTINENTAL AIRLINES, INC.",1905,IL,CWA/AFA -,2014-12-31,NA,1000,PRIVATE
CONTRACT ADMINISTRATION FUND OF NE COLORADO,962,CO NORTHEAST,PLUMBERS AFL-CIO (PPF) LOCAL UNION 208,2006-06-30,23822,1900,PRIVATE
CONTRACT CLEANERS ASSOCIATION OF ST. LOUIS,820,MO ST LOUIS,SERVICE EMPLOYEES (SEIU) LOCAL UNION 50,2006-12-31,56172,2400,PRIVATE
CONTRACTORS ASSOCIATION OF E. PA,1026,PA PHILADELPHIA,TEAMSTERS (IBT) LOCAL UNION 312/TEAMSTERS (IBT) LOCAL UNION 384 TRUCK DRIVERS CHAUFFEURS & HELPERS/TEAMSTERS (IBT) LOCAL UNION 470,2010-04-30,23622,900,PRIVATE
CONTRACTORS ASSOCIATION OF E. PA,1027,PA PHILADELPHIA,TEAMSTERS (IBT) LOCAL UNION 312/TEAMSTERS (IBT) LOCAL UNION 384 TRUCK DRIVERS CHAUFFEURS & HELPERS/TEAMSTERS (IBT) LOCAL UNION 470,2004-04-30,23622,900,PRIVATE
CONTRACTORS ASSOCIATION OF E. PA,1248,PA EASTERN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 542",2010-04-30,23731,3400,PRIVATE
CONTRACTORS ASSOCIATION OF E. PA,1249,PA EASTERN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 542",2004-04-30,23731,3400,PRIVATE
CONTRACTORS ASSOCIATION OF E. PA - 29 COUNTIES,1608,PA EASTERN,"UBC,IBT,LIUNA  VARIOUS",2004-04-30,23622,1500,PRIVATE
